언코티드 발란스 팬츠 익스트림 컴피,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/11471745785849-e1272f9c-6d88-49a0-bace-de2810402714.jpg,41000,['S(90)'],"['하의 밴딩 유무: 밴딩(고무줄) 있음', '색상계열: 그레이계열', '하의 사이즈: S', '쿠팡상품번호: 5197157475 - 7234177262']"
씨쏘 남성용 히든밴딩 감격 슬랙스 팬츠,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/07/24/11/5/3ff60d57-5cde-4f27-80e5-c1a4a7d76392.jpg,21000,['28'],"['하의 사이즈: 남성 S (28~29인치)', '색상계열: 네이비', '앞주름: 주름없음', '소재: 폴리에스터/나일론', '쿠팡상품번호: 250967503 - 792202815']"
오마보이 남성용 마약 PR 밴딩 스판 팬츠 S~3XL,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/dceb/1c2ecd0e571793c3c02b93e3e301baceb0cfd6af81957e6eb02e1763079f.jpg,17000,['30(M)'],"['하의 사이즈: 남성 M (30~31인치)', '색상계열: 네이비계열', '신축성 유무: 신축성 있음', '소재: 면혼방', '하의 밴딩 유무: 밴딩(고무줄) 있음', '쿠팡상품번호: 15885042 - 64974602']"
씨쏘 남성용 리턴2 울트라스판 긴바지,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/07/24/11/4/56b725d6-4cbc-4e22-a3d4-b32dacbcd046.jpg,17000,['28'],"['신축성 유무: 신축성 있음', '팬츠 핏: 스트레이트/일자핏', '소재: 레이온', '하의 밴딩 유무: 밴딩(고무줄) 없음', '색상계열: 그린계열', '쿠팡상품번호: 194425222 - 557620984']"
블루포스 남성용 정장바지 베르넌 사이드 밴딩슬렉스(JJSLM5) 빅사이즈 신사바지 남자슬랙스,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/bc7c/dfcecfe2748165b0260e90562f5a44eac4930b79be63b28ed3ef1ec2a9fc.jpg,25000,['2XL(36)'],"['소재: 폴리에스터/나일론', '앞주름: 주름없음', '색상계열: 그레이계열', '하의 사이즈: 남성 XXL (36~38인치) 이상', '쿠팡상품번호: 1241700825 - 2237451854']"
블루포스 남성용 포레너 워싱 9부 면바지 사계절 스판 남자면바지,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/7833/09745bb1de016c2b493fa813fa43d199c83ee2433d816723d4e79f8e0ada.jpg,25000,['XL(34)'],"['제조년도: 최신제조', '사용계절: 사계절용', '하의 밴딩 유무: 밴딩(고무줄) 없음', '소재: 면혼방', '팬츠 핏: 스트레이트/일자핏', '쿠팡상품번호: 1770766265 - 3015054347']"
씨쏘 남성용 히든밴딩 10부 슬랙스 긴바지,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/product/image/vendoritem/2019/08/19/5133261898/22e256ba-cc4c-4659-9f52-7ca901f7aeea.jpg,21000,['28'],"['하의 사이즈: 남성 28~29인치', '색상계열: 블랙계열', '앞주름: 주름없음', '소재: 폴리에스터/나일론', '쿠팡상품번호: 267929863 - 838067444']"
슈퍼맨아웃도어 [1+1]봄 가을__NEW패션스판청바지B 남성 등산복 등산바지 작업복 작업바지 일상복 데님 청스판 아웃도어 빅사이즈,//thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/7f7a/ee33de6430720c03629cb67267fda8990e65da592eb84ea0f017f823bb8e.jpg,25000,['30'],"['팬츠 핏: 슬림핏', '사용계절: 봄/가을용', '색상계열: 블루계열', '하의 사이즈: 남성 M (30~31인치)', '쿠팡상품번호: 4925402024 - 6501571753']"
블루포스 사계절용 베이직 브레튼 컬러면바지(JJBLM5) 빅사이즈 스판 남자면바지,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/154e/533ad8c3a8b2dbee83b3739611a91c573e59aec12ee8bb3bf7fb3a41aeee.jpg,25000,['M(30)'],"['색상계열: 그레이계열', '쿠팡상품번호: 1471336188 - 2529284705']"
남성용 밴딩 스판 바지 블랙,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/75981242329180-7d9c6880-33d2-4e70-b352-da6e51f010ca.jpg,13000,['28(S)'],"['하의 사이즈: 남성 S (28~29인치)', '색상계열: 블랙계열', '신축성 유무: 신축성 있음', '팬츠 핏: 슬림핏', '소재: 레이온', '쿠팡상품번호: 1058432737 - 2001891120']"
모스트젠틀맨 남성용 WD 고급 원턱 무지 바지 1+1,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/d6cf/2b551fa4b5f5904276b772aaa135295d180d9e889d95d5aa8482585b9e48.jpg,19000,['28'],"['사용계절: 사계절용', '안감 종류: 안감없음', '방수/방풍 여부: 방풍가능', '제조년도: 20년', '하의 길이: 9부길이', '쿠팡상품번호: 333936103 - 1066147429']"
자코모 남성용 대박 스판 밴딩 팬츠,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2018/12/11/17/3/2c8150d6-aad1-4488-afd5-173704b1a296.jpg,13000,['S'],"['하의 사이즈: 남성 S (28~29인치)', '색상계열: 블랙계열', '신축성 유무: 신축성 있음', '팬츠 핏: 슬림핏', '소재: 기타 합성 섬유', '쿠팡상품번호: 36208504 - 134139569']"
