블루포스 남성용 정장바지 베르넌 사이드 밴딩슬렉스(JJSLM5) 빅사이즈 신사바지 남자슬랙스,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/bc7c/dfcecfe2748165b0260e90562f5a44eac4930b79be63b28ed3ef1ec2a9fc.jpg,"59,400원",['2XL(36)'],"['소재: 폴리에스터/나일론', '앞주름: 주름없음', '색상계열: 그레이계열', '하의 사이즈: 남성 XXL (36~38인치) 이상', '쿠팡상품번호: 1241700825 - 2237451854']",[]
씨쏘 남성용 히든밴딩 감격 슬랙스 팬츠,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/07/24/11/3/23f0d527-a8e7-4c73-bd42-1615cd253d36.jpg,원,['28'],"['하의 사이즈: 28', '색상계열: 블랙', '앞주름: 주름없음', '소재: 폴리에스터100%', '쿠팡상품번호: 250967503 - 792202873']",[]
어나더디 남성용 스판 면 밴딩 팬츠,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5526569961371-c11a6bec-5999-4e62-a0dd-1e5cf8be000a.jpg,원,['XL(34)'],"['하의 사이즈: 남성 XL (34~35인치)', '색상계열: 블랙계열', '신축성 유무: 신축성 있음', '팬츠 핏: 슬림핏', '하의 밴딩 유무: 밴딩(고무줄) 있음', '쿠팡상품번호: 222506929 - 697589942']",[]
오마보이 남성용 마약 PR 밴딩 스판 팬츠 S~3XL,//thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/dceb/1c2ecd0e571793c3c02b93e3e301baceb0cfd6af81957e6eb02e1763079f.jpg,"31,800원",['32(L)'],"['하의 사이즈: 남성 L (32~33인치)', '색상계열: 베이지계열', '신축성 유무: 신축성 있음', '소재: 면혼방', '하의 밴딩 유무: 밴딩(고무줄) 있음', '쿠팡상품번호: 15885042 - 64974598']",[]
한줄 스판 시보리 밴딩 조거팬츠 트레이닝바지,//thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/4243/3ab1d5a6f951ba84adca8b8b8e78826afcf2175b58e369f669faa89196bf.jpg,"10,900원",['F'],"['색상계열: 블랙계열', '쿠팡상품번호: 238341564 - 734158814']",[]
[오플] 다니엘크레뮤 21SS 라이크라 블렌디드 스트레치 데님 3종,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/f174/ad5d7f721fcded857c7616429dd6b0bb41f09dbc5a01da1fb2951769e371.jpg,원,['3종/34'],"['하의 사이즈: 남성 34~35인치', '쿠팡상품번호: 5226410088 - 7346090062']",[]
엔비룩 여성용 제일편한일자데님,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2019/09/23/10/6/13dc9431-8720-4ac6-abfe-7f777afd862b.jpg,원,['M'],"['색상계열: 블루계열', '쿠팡상품번호: 181947694 - 521263906']",[]
캐럿 여성용 배기핏 밴딩 팬츠,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/97853913855241-563d13f4-56a0-4941-b2bd-7928b0de1dfa.jpg,원,['S-M'],"['색상계열: 블랙계열', '하의 사이즈: 여성 S', '쿠팡상품번호: 4604685914 - 5683818528']",[]
여름 아이스 부츠컷밴딩팬츠 여성용 쿨스판바지 예프클럽,//thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/4daf/94a264af8edad02399f32ec2a3068920ae081a00fa84db18053adc46997d.jpg,"29,900원",['66'],"['색상계열: 블랙계열', '쿠팡상품번호: 218548251 - 676749873']",[]
자코모 남성용 대박 스판 밴딩 팬츠,//thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/images/2018/12/11/17/3/2c8150d6-aad1-4488-afd5-173704b1a296.jpg,"32,800원",['S'],"['하의 사이즈: 남성 S (28~29인치)', '색상계열: 블랙계열', '신축성 유무: 신축성 있음', '팬츠 핏: 슬림핏', '소재: 기타 합성 섬유', '쿠팡상품번호: 36208504 - 134139569']",[]
